action,original,new,status
RENAME,extract-songs.py,suno-extract-songs.py,completed
RENAME,extract-suno-html.py,suno-extract-suno-html.py,completed
RENAME,extract-video-reader.py,instagram-extract-video-reader.py,completed
RENAME,extract_archived_content.py,extract-archived-content.py,completed
RENAME,filter-blacklist-hashtag.py,instagram-filter-blacklist-hashtag.py,completed
RENAME,filter-private-profiles.py,instagram-filter-private-profiles.py,completed
RENAME,fix_transcript_names.py,fix-transcript-names.py,completed
RENAME,flatten_all_album_structure.py,flatten-all-album-structure.py,completed
RENAME,follow-last-user.py,instagram-follow-last-user.py,completed
RENAME,follow-user-followers.py,instagram-follow-user-followers.py,completed
RENAME,follow-user-following.py,instagram-follow-user-following.py,completed
RENAME,follow-users-from.py,instagram-follow-users-from.py,completed
RENAME,follow-users.py,instagram-follow-users.py,completed
RENAME,followers.py,instagram-followers.py,completed
LIBRARY,follow-requests.py,_library/follow-requests.py,completed
DELETE,final_cleanup_extras.py,,completed
DELETE,final_consolidation.py,,completed
