action,original,new,status
RENAME,unarchive.py,instagram-unarchive.py,completed
RENAME,undo_collection_and_merge.py,undo-collection-and-merge.py,completed
RENAME,unfollow-everyone.py,instagram-unfollow-everyone.py,completed
RENAME,unfollow-followers.py,instagram-unfollow-followers.py,completed
RENAME,unified_workflow_poc.py,unified-workflow-poc.py,completed
RENAME,universe4.py,leonardo-universe4.py,completed
RENAME,unlike-users.py,instagram-unlike-users.py,completed
RENAME,upload_api.py,upload-api.py,completed
RENAME,upload_simple.py,upload-simple.py,completed
RENAME,upscaled.py,leonardo-upscaled.py,completed
RENAME,utils_simple.py,utils-simple.py,completed
RENAME,verify_and_sort_missing_songs.py,verify-and-sort-missing-songs.py,completed
RENAME,welcome-message.py,instagram-welcome-message.py,completed
LIBRARY,utils.py,_library/utils.py,completed
LIBRARY,validate-settings.py,_library/validate-settings.py,completed
