Old Name,New Name,Services,Actions,Content Types,Purpose,Parent,Path
social-platforms-youtube-ytubedlthumbscopy.py,social-platforms-youtube.py,,,,,SOCIAL_PLATFORMS,_versions/SOCIAL_PLATFORMS/social-platforms-youtube-ytubedlthumbscopy.py
file-management-organize-sort2(1).py,image-organizer.py,,organize,"file, image",sort images,FILE_MANAGEMENT,_versions/FILE_MANAGEMENT/file-management-organize-sort2(1).py
upload(1).py,upload.py,,,,,FILE_MANAGEMENT,_versions/FILE_MANAGEMENT/upload(1).py
organize(1)_3.py,organize.py,,organize,"file, data",copy files with structure,FILE_MANAGEMENT,_versions/FILE_MANAGEMENT/organize(1)_3.py
content-creation-quiz-main2(1).py,content-creation-quiz.py,,generate,"text, data",main,CONTENT_CREATION,_versions/CONTENT_CREATION/content-creation-quiz-main2(1).py
content-creation-video-automation-motivational_video_generator_pexels.py,requests-video-downloadr.py,"requests, moviepy","process, download","file, audio",checkIfImageMagicksIsInstalled,CONTENT_CREATION,_versions/CONTENT_CREATION/content-creation-video-automation-motivational_video_generator_pexels.py
content-creation-leonardo-leomotioncopy.py,content-creation-leonardo.py,"requests, leonardo",,text,,CONTENT_CREATION,_versions/CONTENT_CREATION/content-creation-leonardo-leomotioncopy.py
media-processing-image-processing-image_print_optimizer_300dpi.py,image-downloadr.py,,"process, download",image,resize image to target size,MEDIA_PROCESSING,_versions/MEDIA_PROCESSING/media-processing-image-processing-image_print_optimizer_300dpi.py
media-processing-image-processing-vanceai_batch_background_remover.py,requests-image-downloadr.py,requests,"process, download",image,remove background,MEDIA_PROCESSING,_versions/MEDIA_PROCESSING/media-processing-image-processing-vanceai_batch_background_remover.py
media-processing-image-8mb(1).py,image-processr.py,,process,image,resize images in directory,MEDIA_PROCESSING,_versions/MEDIA_PROCESSING/media-processing-image-8mb(1).py
analyze-shorts-info(1).py,analyze-shorts-info.py,,,,,AI_TOOLS,_versions/AI_TOOLS/analyze-shorts-info(1).py
llm-engineering-infrastructure-aws-deploy-huggingface-sagemaker.py,llm-engineering-infrastructure.py,,"automate, generate",,prepare and deploy model,llm_engineering,LLM-Engineers-Handbook-main/llm_engineering/llm-engineering-infrastructure-aws-deploy-huggingface-sagemaker.py
