Old Name,New Name,Services,Actions,Content Types,Purpose,Parent,Path
youtube_copy_files_with_logging.py,youtube-copy-files.py,youtube,,"file, data",copy files with logging,sorting,sorting/youtube_copy_files_with_logging.py
like_and_follow_last_user_media_likers.py,like-and-follow.py,,automate,,"instabot example

workflow:
    like and follow users who liked the last media of input users",examples,igbot/examples/like_and_follow_last_user_media_likers.py
playlist_20221230180403.py,youtube-audio-downloadr.py,"requests, youtube","process, generate","data, audio",last fm artist info,.history,SpotifyMP3/.history/playlist_20221230180403.py
playlist_20221230180508.py,playlist.py,,,,,.history,SpotifyMP3/.history/playlist_20221230180508.py
playlist_20221230180628.py,playlist.py,,,,,.history,SpotifyMP3/.history/playlist_20221230180628.py
playlist_20221230180525.py,playlist.py,,,,,.history,SpotifyMP3/.history/playlist_20221230180525.py
YTubeDLthumbscopy_2.py,ytubedlthumbscopy.py,,,,,youtube,_versions/SOCIAL_PLATFORMS/youtube/YTubeDLthumbscopy_2.py
YTdownloadthumbcopy_1.py,youtube-video-downloadr.py,"requests, pandas, youtube",download,video,fetch video details,download,_versions/WEB_SCRAPING/download/YTdownloadthumbcopy_1.py
sort2(1).py,image-organizer.py,,organize,image,sort images,organize,_versions/FILE_MANAGEMENT/organize/sort2(1).py
organize(1)_3.py,organize.py,,organize,"file, data",copy files with structure,organize,_versions/FILE_MANAGEMENT/organize/organize(1)_3.py
upload(1).py,upload.py,,,,,upload,_versions/FILE_MANAGEMENT/upload/upload(1).py
main2(1).py,main.py,,generate,data,main,quiz,_versions/CONTENT_CREATION/quiz/main2(1).py
8mb(1).py,8mb-1.py,,,image,resize images in directory,image,_versions/MEDIA_PROCESSING/image/8mb(1).py
analyze-shorts-info(1).py,analyze-shorts-info.py,,,,,analyze,_versions/AI_TOOLS/analyze/analyze-shorts-info(1).py
analyze-prompt(1)_1.py,openai-audio-analyzer.py,openai,"process, analyze","text, audio",analyze text for section,analyze,_versions/AI_TOOLS/analyze/analyze-prompt(1)_1.py
process_leonardo_20250102110441.py,requests-image-downloadr.py,"requests, leonardo","process, download","file, image",fetch and download all generations,.history,leonardo/.history/process_leonardo_20250102110441.py
